,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,avg_wave_ht_day_of_measurement_cm,researcher_name
170,Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,39,Hugh
171,Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,24,Stanley
172,Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE,17,Stanley
173,Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE,16,Hugh
174,Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE,13,Stanley
175,Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE,23,Hugh
176,Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,33,Hugh
177,Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE,22,Meryl
178,Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE,24,Meryl
179,Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,19,Meryl
180,Chinstrap,Dream,46.4,17.8,191.0,3700.0,FEMALE,12,Meryl
181,Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,26,Hugh
182,Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE,31,Meryl
183,Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE,28,Meryl
184,Chinstrap,Dream,42.5,16.7,187.0,3350.0,FEMALE,39,Meryl
185,Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE,20,Meryl
186,Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE,21,Hugh
187,Chinstrap,Dream,47.5,16.8,199.0,3900.0,FEMALE,32,Hugh
188,Chinstrap,Dream,47.6,18.3,195.0,3850.0,FEMALE,28,Hugh
189,Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,37,Hugh
190,Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,15,Stanley
191,Chinstrap,Dream,53.5,19.9,205.0,4500.0,MALE,30,Meryl
192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,35,Meryl
193,Chinstrap,Dream,46.2,17.5,187.0,3650.0,FEMALE,25,Stanley
194,Chinstrap,Dream,50.9,19.1,196.0,3550.0,MALE,32,Hugh
195,Chinstrap,Dream,45.5,17.0,196.0,3500.0,FEMALE,38,Hugh
196,Chinstrap,Dream,50.9,17.9,196.0,3675.0,FEMALE,29,Meryl
197,Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE,38,Stanley
198,Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE,33,Stanley
199,Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,16,Stanley
200,Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,24,Stanley
201,Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE,14,Hugh
202,Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,26,Stanley
203,Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE,31,Hugh
204,Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,37,Meryl
205,Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE,15,Stanley
206,Chinstrap,Dream,42.5,17.3,187.0,3350.0,FEMALE,34,Hugh
207,Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE,16,Stanley
208,Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,28,Meryl
209,Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,39,Hugh
210,Chinstrap,Dream,50.2,18.8,202.0,3800.0,MALE,33,Stanley
211,Chinstrap,Dream,45.6,19.4,194.0,3525.0,FEMALE,27,Meryl
212,Chinstrap,Dream,51.9,19.5,206.0,3950.0,MALE,37,Hugh
213,Chinstrap,Dream,46.8,16.5,189.0,3650.0,FEMALE,26,Stanley
214,Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,17,Hugh
215,Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,19,Hugh
216,Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,32,Meryl
217,Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE,13,Meryl
218,Chinstrap,Dream,50.8,19.0,210.0,4100.0,MALE,39,Meryl
219,Chinstrap,Dream,50.2,18.7,198.0,3775.0,FEMALE,12,Hugh
220,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,FEMALE,33,Hugh
221,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,MALE,19,Stanley
222,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,FEMALE,15,Hugh
223,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,MALE,17,Hugh
224,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE,15,Hugh
225,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,15,Stanley
226,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,FEMALE,34,Meryl
227,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,25,Meryl
228,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,25,Meryl
229,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,36,Meryl
230,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE,27,Hugh
231,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,15,Stanley
232,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,35,Stanley
233,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,38,Meryl
234,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,27,Stanley
235,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,MALE,39,Hugh
236,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,FEMALE,13,Hugh
237,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,18,Meryl
238,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,16,Meryl
239,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,MALE,38,Meryl
240,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE,23,Hugh
241,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,FEMALE,17,Stanley
242,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,FEMALE,16,Hugh
243,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,13,Hugh
244,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,FEMALE,28,Hugh
245,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,30,Stanley
246,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,25,Stanley
247,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,MALE,37,Stanley
248,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,FEMALE,39,Meryl
249,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,MALE,31,Hugh
250,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,MALE,24,Meryl
251,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE,28,Hugh
252,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE,16,Stanley
253,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,27,Stanley
254,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,FEMALE,20,Stanley
255,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,MALE,35,Meryl
256,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,FEMALE,32,Stanley
257,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,MALE,39,Stanley
258,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,FEMALE,28,Hugh
259,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,MALE,30,Meryl
260,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,FEMALE,16,Hugh
261,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE,17,Stanley
262,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,FEMALE,37,Meryl
263,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE,34,Stanley
264,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE,29,Hugh
265,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,FEMALE,38,Stanley
266,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,FEMALE,13,Stanley
267,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,MALE,36,Stanley
268,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,FEMALE,31,Stanley
269,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,MALE,35,Hugh
270,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,FEMALE,26,Meryl
271,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,MALE,35,Hugh
272,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,FEMALE,39,Meryl
273,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE,26,Meryl
274,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE,24,Stanley
275,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,MALE,19,Stanley
276,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,FEMALE,16,Hugh
277,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,MALE,32,Stanley
278,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,FEMALE,19,Stanley
279,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE,34,Meryl
280,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,FEMALE,13,Meryl
281,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,MALE,21,Hugh
282,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE,17,Hugh
283,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,MALE,32,Stanley
284,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,FEMALE,17,Stanley
285,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,MALE,39,Hugh
286,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,20,Stanley
287,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE,33,Meryl
288,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,FEMALE,29,Stanley
289,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,MALE,13,Meryl
290,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE,33,Meryl
291,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE,34,Stanley
292,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE,32,Meryl
293,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,FEMALE,31,Meryl
294,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,FEMALE,16,Hugh
295,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,MALE,17,Meryl
296,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,FEMALE,35,Hugh
297,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE,14,Hugh
298,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,FEMALE,16,Hugh
299,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,MALE,12,Stanley
300,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE,21,Stanley
301,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,MALE,14,Stanley
302,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,FEMALE,33,Stanley
303,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE,34,Hugh
304,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,FEMALE,35,Meryl
305,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,MALE,13,Stanley
306,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE,36,Hugh
307,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,MALE,35,Meryl
308,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,FEMALE,32,Stanley
309,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,MALE,34,Meryl
310,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE,16,Stanley
311,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,MALE,25,Hugh
312,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,FEMALE,28,Hugh
313,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE,17,Meryl
314,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,FEMALE,22,Hugh
315,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE,13,Stanley
316,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,MALE,20,Hugh
317,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,FEMALE,39,Meryl
318,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE,27,Meryl
319,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,MALE,32,Stanley
320,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,FEMALE,18,Meryl
321,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,MALE,36,Hugh
322,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,FEMALE,25,Hugh
323,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,MALE,22,Hugh
324,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,32,Stanley
325,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,MALE,30,Meryl
326,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE,37,Meryl
327,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE,30,Meryl
328,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,FEMALE,14,Stanley
329,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,MALE,22,Hugh
330,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,39,Meryl
331,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,MALE,14,Hugh
332,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,FEMALE,23,Hugh
333,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,MALE,22,Stanley
334,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,FEMALE,39,Hugh
335,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE,17,Stanley
336,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,.,31,Meryl
337,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE,34,Hugh
338,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,33,Stanley
339,Gentoo,Biscoe,,,,,,25,Meryl
340,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,FEMALE,18,Stanley
341,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE,32,Meryl
342,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,FEMALE,13,Hugh
343,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE,37,Hugh
